Full Product Name,Brand,Name,Speed,Control,Stiffness,Overall,Price,Ratings
Adidas Accelum High Speed Carbon,Adidas,Accelum High Speed Carbon,7,7,10,,$129.00,1
Adidas Avenger 5,Adidas,Avenger 5,8.5,8.5,5,9,$75.00,1
Adidas Avenger 7,Adidas,Avenger 7,9.3,7.9,6.5,9.3,$79.00,6
Adidas Avenger Carbon,Adidas,Avenger Carbon,9,9,5,9.3,$99.00,3
Adidas C100 OFF,Adidas,C100 OFF,7.6,8.5,2.8,8.5,$60.00,7
Adidas C300 OFF,Adidas,C300 OFF,7.8,7.9,4.7,8.5,$100.00,6
Adidas C500 OFF+,Adidas,C500 OFF+,9.2,8.8,6.4,8.9,$100.00,14
Adidas Challenge Force,Adidas,Challenge Force,8.7,9.5,3.8,9.4,$69.00,7
Adidas Challenge Speed,Adidas,Challenge Speed,9,8.7,6.5,9.1,$49.00,19
Adidas FiberTec Classic,Adidas,FiberTec Classic,8.5,9.2,3.5,9.2,$68.00,9
Adidas FiberTec Extreme,Adidas,FiberTec Extreme,9.6,8.4,6.4,9.4,$159.00,9
Adidas FiberTec Power,Adidas,FiberTec Power,9.5,9.2,7.2,9.3,$199.00,6
Adidas Hypertouch,Adidas,Hypertouch,9,8.9,5,9.2,$180.00,8
Adidas Radix Express,Adidas,Radix Express,9.5,9.5,5,9.3,$180.00,7
Adidas Radix Impress,Adidas,Radix Impress,8.5,9,7,9.3,$199.00,1
Adidas Radix Ultimate,Adidas,Radix Ultimate,9.6,9.4,5,9.9,$137.00,4
Adidas Strike Carbon,Adidas,Strike Carbon,9.5,8.7,5.7,9.1,$120.00,7
Adidas Strike Wood 5,Adidas,Strike Wood 5,7.9,9.5,5,9.5,$48.00,1
Adidas Strike Wood 7,Adidas,Strike Wood 7,8.5,9,5,9.5,$48.00,1
Adidas Synchro Plus,Adidas,Synchro Plus,4,4,3,4,$39.00,1
Adidas Synchro Unity,Adidas,Synchro Unity,7,10,5,9.3,$35.00,1
Adidas V1.1 ALL,Adidas,V1.1 ALL,8,8.7,6.2,8.8,$130.00,5
Adidas V1.3 OFF-,Adidas,V1.3 OFF-,8.4,8.7,6,9.5,$110.00,7
Adidas V1.5 OFF-,Adidas,V1.5 OFF-,8.5,8.4,6,8.5,$110.00,8
Air Touch01 All Wood,Air,Touch01 All Wood,7,9,5,8,$16.00,1
Alpha Rosen,Alpha,Rosen,9,9,7,9,$80.00,1
Alser Allround 5,Alser,Allround 5,7.4,8.6,5,8.2,$55.00,5
Alser Alser 7,Alser,Alser 7,8.9,8.9,5,9.2,$70.00,4
Alser Carbon 9,Alser,Carbon 9,9.4,9,6.3,9.4,$100.00,3
American Hinoki WRC-9mm,American,Hinoki WRC-9mm,9.3,9.3,5,9.3,$75.00,3
Andro Blax ALL+,Andro,Blax ALL+,8.5,7,5,7.7,$45.00,4
Andro Blax OFF,Andro,Blax OFF,9.4,6.5,6.5,7.6,$43.00,4
Andro Carbon Compact OFF-,Andro,Carbon Compact OFF-,8.2,9,6,9,,2
Andro Core 7 OFF+,Andro,Core 7 OFF+,9.8,9.7,6.5,9.9,$45.00,4
Andro CS7 Pro,Andro,CS7 Pro,7,9,10,,$59.00,2
Andro CS7 Tour,Andro,CS7 Tour,8.9,9.5,7,9.5,$59.00,3
Andro CS7 Velocity,Andro,CS7 Velocity,9.2,7.6,6.5,7.7,$55.00,6
Andro CSV ALL+,Andro,CSV ALL+,8.1,8.9,5,9.1,$39.00,9
Andro CSV Carbon OFF++,Andro,CSV Carbon OFF++,9.1,8.8,6.4,9.4,$77.00,9
Andro CSV OFF,Andro,CSV OFF,9,9.4,6,9.4,$49.00,4
Andro CSV OFF-,Andro,CSV OFF-,8.3,9.6,5.5,9.5,$49.00,4
Andro CSV OFF+,Andro,CSV OFF+,9.1,9.1,5.4,9,$60.00,28
Andro Fibercomp DEF,Andro,Fibercomp DEF,7.5,9.1,5.1,9,$60.00,17
Andro Flaxonite Driver OFF,Andro,Flaxonite Driver OFF,8.9,9.5,5.7,9.5,$61.00,3
Andro HiLoom,Andro,HiLoom,9.2,8.6,5,9,$134.00,2
Andro Inizio Off,Andro,Inizio Off,9,9.5,7,9,$20.00,1
Andro J. M. Saive Kinetic OFF,Andro,J. M. Saive Kinetic OFF,7.5,7.5,6,8.3,$45.00,2
Andro J. M. Saive Kinetic OFF-,Andro,J. M. Saive Kinetic OFF-,8,8.5,5,9.2,$45.00,3
Andro Kanter ALL+,Andro,Kanter ALL+,7.2,8.8,4,8.5,$56.00,2
Andro Kanter Explorer OFF,Andro,Kanter Explorer OFF,9.5,9.5,6.3,9.5,$55.00,4
Andro Kanter OFF+,Andro,Kanter OFF+,9.3,9.2,6,9.4,$45.00,6
Andro Kinetic ALL,Andro,Kinetic ALL,8,9,,9,$47.00,2
Andro Kinetic ALL+,Andro,Kinetic ALL+,8.3,9.4,6,9.4,$43.00,2
Andro Kinetic CF Carbo-Aramid OFF,Andro,Kinetic CF Carbo-Aramid OFF,9,8.6,6.8,9,$100.00,4
